Customer_id,Area,Children,Education,Employment,Marital,Churn,Outage_sec_perweek,Techie,Contract,Tablet,InternetService,Multiple,TechSupport,Tenure,MonthlyCharge,Bandwidth_GB_Year
K409198,Urban,0.0,Postgraduate,Part Time,Widowed,No,6.972566093,No,One year,Yes,Fiber Optic,No,No,6.795512947,171.4497621,904.5361102
S120509,Urban,1.0,High School or GED,Retired,Married,Yes,12.01454108,Yes,Month-to-month,Yes,Fiber Optic,Yes,No,1.156680997,242.9480155,800.9827661
K191035,Urban,4.0,High School or GED,Student,Widowed,No,10.24561565,Yes,Two Year,No,DSL,Yes,No,15.75414408,159.4403984,2054.706961
D90850,Suburban,1.0,Postgraduate,Retired,Married,No,15.20619309,Yes,Two Year,No,DSL,No,No,17.08722662,120.2494934,2164.579412
K662701,Suburban,0.0,Postgraduate,Student,Separated,Yes,8.960316419,No,Month-to-month,No,Fiber Optic,No,Yes,1.670971726,150.7612159,271.4934362
W303516,Urban,3.0,No Degree,Full Time,Never Married,No,7.814858954,No,One year,No,No Internet Service,Yes,No,7.000993555,184.4015581,1039.357983
U335188,Suburban,0.0,Associate's,Full Time,Widowed,Yes,11.12909443,Yes,Month-to-month,No,DSL,No,Yes,13.23677381,200.0648859,1907.242972
V538685,Suburban,2.0,Bachelor's,Full Time,Married,Yes,7.594838367,Yes,Month-to-month,No,DSL,No,No,0.0,114.7541111,979.6127078
M716771,Suburban,2.0,Some College,Full Time,Separated,No,6.637258801,No,Month-to-month,No,DSL,No,No,8.220686373,118.3668439,1312.874964
I676080,Rural,0.0,High School or GED,Full Time,Married,No,9.230409493,No,Two Year,No,Fiber Optic,No,No,3.422086139,163.0052796,508.7637913
J980369,Urban,7.0,High School or GED,Full Time,Separated,No,11.83511269,No,Month-to-month,No,DSL,Yes,No,19.26726194,177.451599,2728.767869
E243720,Rural,2.0,Bachelor's,Full Time,Married,No,5.08282075,No,Month-to-month,No,Fiber Optic,No,No,0.0,148.3640874,1180.588788
F139569,Rural,0.0,Postgraduate,Retired,Divorced,No,7.265960814,No,Month-to-month,No,Fiber Optic,No,No,13.01149229,136.4312394,1196.388018
